time_seconds,bus650_magnitude,bus650_angle,bus680_magnitude,bus680_angle,bus692_magnitude,bus692_angle
71.0,0.9999306272626958,-0.00018231510360716013,0.9829378789380605,-0.08642190019452976,0.98293785806122,-0.08642189238046996
72.0,0.9999278949162252,-0.0001839045904142196,0.9819965951956046,-0.08758425983821559,0.9819965741853378,-0.08758425192471286
73.0,0.9999325493394542,-0.00018111452840932735,0.9836066618008041,-0.08557007159391504,0.9836066410211953,-0.08557006385086792
74.0,0.999944265669977,-0.0001740164813291312,0.9876620972996113,-0.08049660767336826,0.9876620771012178,-0.08049660036154571
75.0,0.9999600983021509,-0.0001642237630371952,0.993165561880044,-0.07360663276069249,0.9931655424677807,-0.07360662602771294
76.0,0.9999756946978549,-0.00015429383856762474,0.998594225623319,-0.06676792422444575,0.9985942069895023,-0.06676791805963318
77.0,0.9999868874575983,-0.00014701092386958296,1.0025159582900212,-0.06183550436656922,1.0025159402158303,-0.06183549860851157
78.0,0.9999912999609554,-0.0001441158310704337,1.0041200576457248,-0.060120960573643654,1.0041200397864636,-0.06012095496209193
79.0,0.9999887729093104,-0.00014578828144859484,1.0032341443715307,-0.061236592911682014,1.0032341263858957,-0.06123658720832593
80.0,0.999981479717259,-0.00015053501316313202,1.0006892433947139,-0.06443635786940796,1.00068922504569,-0.06443635190171808
81.0,0.9999731687902752,-0.0001559143433400755,0.9977966256286871,-0.06811003446611613,0.9977966068622517,-0.06811002819492398
82.0,0.9999676283503048,-0.00015945500712454046,0.9958754341167355,-0.07053012109322018,0.9958754150756952,-0.07053011462171899
83.0,0.999967347362369,-0.00015962846943319488,0.99577783873201,-0.0706556935908085,0.9957778196759158,-0.07065568710749272
84.0,0.9999722963982065,-0.00015645466998613508,0.9975077802780673,-0.0684828432235905,0.9975077614699916,-0.06848283692107178
85.0,0.9999800142223966,-0.00015146871554491583,1.0001878874516155,-0.06506582131959232,1.0001878690306134,-0.06506581529842814
86.0,0.9999867592118459,-0.00014708609390757954,1.0025274023277657,-0.06210689131186225,1.0025273842433515,-0.062106885536092345
87.0,0.9999887682630679,-0.00014579026113408357,1.0032332638691397,-0.061238530974519347,1.0032332458833877,-0.0612385252710786
88.0,0.9999837697279508,-0.00014904839785907664,1.0014834323538189,-0.0634390615133387,1.0014834141186304,-0.06343905562807443
89.0,0.9999719537316751,-0.000156687355241112,0.9973662125572494,-0.06862158799499792,0.9973661937315094,-0.06862158167946904
90.0,0.9999557419653164,-0.00016693373228075358,0.991749511767904,-0.07574253251575841,0.9917494921339042,-0.07574252560910252
91.0,0.9999392724975645,-0.00017708339298284697,0.9859416800050456,-0.08267692866463101,0.9859416595565734,-0.08267692116829634
92.0,0.9999268745694129,-0.00018450537349816464,0.9815143177864989,-0.08774157153876834,0.9815142967340518,-0.08774156360032212
93.0,0.9999216809187769,-0.00018815008769706572,0.9865260889117621,-0.08920633177768568,0.986526067542534,-0.08920632371569598
94.0,0.9999237503025502,-0.00018688638200420752,0.9872321658455004,-0.08828716379550965,0.9872321445810514,-0.08828715580855076
95.0,0.999930893897943,-0.00018263508960212908,0.9897101664463103,-0.08524914636403465,0.98971014553122,-0.0852491386370626
96.0,0.9999389979460567,-0.00017776370123750743,0.9924876220415826,-0.08180668073054759,0.992487601525,-0.08180667329841741
97.0,0.9999441041364711,-0.0001746126424788045,0.9942474202895204,-0.07960498239621844,0.9942474000255728,-0.07960497514770334
98.0,0.9999438339667184,-0.00017480377797144558,0.9941540086829989,-0.0797214934097193,0.9941539884043249,-0.07972148615144392
99.0,0.9999381534690063,-0.00017826668343894655,0.9921915011212931,-0.08215265753094113,0.9921914805635796,-0.08215265006576083
