time_seconds,pv_output_kw,ess_output_kw,soc
105.0,609.0524304608339,-10.117886887653249,0.8910679289614206
106.0,549.9999999999999,-20.036515027050505,0.9010861864749459
107.0,491.4953800023387,-29.414719445621795,0.9157935461977568
108.0,455.98696833379455,-23.05859385306208,0.9273228431242878
109.0,457.3415225557269,-25.64352188710517,0.9401446040678404
110.0,495.5442018886215,-24.180290367331825,0.9522347492515063
111.0,556.6987298107786,0.0,0.9522347492515063
112.0,618.3276755104995,0.0,0.9522347492515063
113.0,657.9484103556456,0.0,0.9522347492515063
114.0,661.6491213115725,0.0,0.9522347492515063
115.0,629.3892626146244,0.0,0.9522347492515063
116.0,574.9999999999992,0.0,0.9522347492515063
117.0,520.884642616963,0.0,0.9522347492515063
118.0,489.44349865173723,0.0,0.9522347492515063
119.0,494.4987638295964,0.0,0.9522347492515063
120.0,535.9950516073694,0.0,0.9522347492515063
121.0,599.9999999999995,20,0.9422347492515063
122.0,664.0049483926301,20,0.9322347492515063
123.0,705.5012361704034,20,0.9222347492515063
124.0,710.5565013482629,20,0.9122347492515063
125.0,679.1153573830375,20,0.9022347492515063
126.0,625.0000000000014,20,0.8922347492515063
127.0,570.610737385376,20,0.8822347492515062
128.0,538.3508786884278,-10.21114720171945,0.887340322852366
129.0,542.0515896443542,-10.052367323122091,0.892366506513927
130.0,581.6723244895,20,0.882366506513927
131.0,643.3012701892209,20,0.872366506513927
132.0,704.4557981113779,20,0.862366506513927
133.0,742.6584774442729,20,0.852366506513927
134.0,744.0130316662056,20,0.842366506513927
135.0,708.5046199976618,20,0.832366506513927
136.0,650.0000000000007,-14.97028806740075,0.8398516505476273
137.0,590.9475695391666,-24.866463180247766,0.8522848821377512
138.0,553.8017284071749,-18.13003624012954,0.861349900257816
139.0,552.4471741852425,-20.79667940030161,0.8717482399579668
140.0,586.8987476528822,-19.28746647622703,0.8813919731960803
141.0,643.3012701892217,-14.584654770703587,0.8886843005814321
142.0,699.2293749479935,20,0.8786843005814321
143.0,732.2628929033851,20,0.8686843005814321
144.0,728.5621819474585,20,0.8586843005814321
145.0,688.1677878438713,20,0.8486843005814321
146.0,625.0000000000001,-14.739403003156237,0.8560540020830102
147.0,561.5583069245436,-19.102914774662416,0.8656054594703414
148.0,520.3451980892318,-19.560367458870466,0.8753856431997766
149.0,515.2899329113725,-16.28686727202755,0.8835290768357904
150.0,546.4478979341354,20,0.8735290768357904
151.0,599.999999999999,20,0.8635290768357904
152.0,653.5521020658641,20,0.8535290768357904
153.0,684.7100670886274,20,0.8435290768357904
154.0,679.6548019107679,20,0.8335290768357904
155.0,638.4416930754571,20,0.8235290768357904
156.0,575.0000000000007,20,0.8135290768357903
157.0,511.8322121561294,20,0.8035290768357903
158.0,471.4378180525422,20,0.7935290768357903
159.0,467.73710709661503,0.0,0.7935290768357903
160.0,500.77062505200473,0.0,0.7935290768357903
161.0,556.6987298107778,0.0,0.7935290768357903
162.0,613.1012523471172,0.0,0.7935290768357903
163.0,647.5528258147574,10.318847657390995,0.7883696530070948
164.0,646.1982715928253,0.0,0.7883696530070948
165.0,609.0524304608351,0.0,0.7883696530070948
166.0,550.0000000000015,0.0,0.7883696530070948
167.0,491.49538000233883,-19.714911714714177,0.7982271088644519
168.0,455.98696833379415,-26.994885629663568,0.8117245516792837
169.0,457.34152255572684,-29.659008828658795,0.8265540560936131
170.0,495.5442018886225,-27.853480893839322,0.8404807965405328
171.0,556.6987298107784,-23.160674419882454,0.852061133750474
172.0,618.3276755104993,-17.97553200316848,0.8610488997520582
173.0,657.9484103556455,-14.59348459564147,0.868345642049879
174.0,661.6491213115729,-14.599354490979488,0.8756453192953687
175.0,629.3892626146245,-17.835538007639595,0.8845630882991885
176.0,575.0000000000007,-22.8174011850637,0.8959717888917204
177.0,520.884642616964,-27.123932988334598,0.9095337553858877
178.0,489.44349865173734,-28.316787381989617,0.9236921490768825
179.0,494.49876382959684,-25.034718371233833,0.9362095082624994
180.0,535.9950516073704,-17.523857104822184,0.9449714368149105
